run_id,scenario_id,rep_id,dgp_name,dgp.input_representation,dgp.dist_variant,dgp.sigma_v,dgp.kappa_sigmaU_over_sigmaV,dgp.sigma_eps,dgp.beta,dgp.distractors.p_u,dgp.distractors.u_noise_scale_mult,dgp.distractors.p_noise,dgp.distractors.noise_scale_mult,dgp.prevalence_target,feature_set,colsamp_arm,s,colsample_bylevel,colsample_bynode,max_depth,regime,n_estimators_cap,n_estimators_used,best_iteration,train_seconds,valid_rocauc,valid_prauc,test_rocauc,test_prauc,valid_latent_corr,test_latent_corr,nthread,cooc_mean,cooc_log_a__log_b,cooc_path_mean,cooc_path_log_a__log_b,valid_prauc_base,valid_rocauc_base,valid_latent_corr_base,test_prauc_base,test_rocauc_base,test_latent_corr_base,cooc_mean_base,cooc_path_mean_base,delta_valid_prauc,delta_valid_rocauc,delta_valid_latent_corr,delta_test_prauc,delta_test_rocauc,delta_test_latent_corr,delta_cooc_mean,delta_cooc_path_mean
phase0_20251220_221556,0,0,continuous_logratio,log,normal,1.0,12.0,0.05,1.4,0,1.0,120,1.0,0.05,F0,C0,1.0,1.0,1.0,4,early_stopping,1200,109,108,1.471686848999525,0.7622672583784342,0.1980531481855653,0.7832038085503886,0.1914987118220928,0.7265762374252709,0.7326803201547392,14,0.5683453237410072,0.5683453237410072,0.4571638792861814,0.4571638792861814,0.1980531481855653,0.7622672583784342,0.7265762374252709,0.1914987118220928,0.7832038085503886,0.7326803201547392,0.5683453237410072,0.4571638792861814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase0_20251220_221556,0,0,continuous_logratio,log,normal,1.0,12.0,0.05,1.4,0,1.0,120,1.0,0.05,F1,C0,1.0,1.0,1.0,4,early_stopping,1200,51,50,0.7936339349980699,0.8105134312840263,0.2700232531109019,0.8315618929653638,0.2681561544282372,0.8908157367150368,0.8939821108932497,14,0.0,0.0,0.0,0.0,0.2700232531109019,0.8105134312840263,0.8908157367150368,0.2681561544282372,0.8315618929653638,0.8939821108932497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase0_20251220_221556,0,0,continuous_logratio,log,normal,1.0,12.0,0.05,1.4,0,1.0,120,1.0,0.05,F0,C3,0.9,0.9,0.9,4,early_stopping,1200,101,100,0.9741521819960326,0.7568605418930346,0.1980654337129102,0.7748912686829266,0.1918094264264864,0.7165406611829986,0.7228355347769427,14,0.5801526717557252,0.5801526717557252,0.4524716589602086,0.4524716589602086,0.1980531481855653,0.7622672583784342,0.7265762374252709,0.1914987118220928,0.7832038085503886,0.7326803201547392,0.5683453237410072,0.4571638792861814,1.2285527344890745e-05,-0.0054067164853995875,-0.010035576242272248,0.0003107146043936082,-0.008312539867462054,-0.009844785377796428,0.011807348014717944,-0.004692220325972829
phase0_20251220_221556,0,0,continuous_logratio,log,normal,1.0,12.0,0.05,1.4,0,1.0,120,1.0,0.05,F1,C3,0.9,0.9,0.9,4,early_stopping,1200,61,60,0.8888375919996179,0.8123846313456444,0.2695898908572124,0.8328578626111314,0.2683944983432482,0.9028108157800684,0.9062088811948013,14,0.0219780219780219,0.0219780219780219,0.0039246467817896,0.0039246467817896,0.2700232531109019,0.8105134312840263,0.8908157367150368,0.2681561544282372,0.8315618929653638,0.8939821108932497,0.0,0.0,-0.00043336225368950654,0.0018712000616181168,0.01199507906503161,0.00023834391501098562,0.001295969645767614,0.012226770301551504,0.0219780219780219,0.0039246467817896
phase0_20251220_221556,0,0,continuous_logratio,log,normal,1.0,12.0,0.05,1.4,0,1.0,120,1.0,0.05,F0,C3,0.8,0.8,0.8,4,early_stopping,1200,146,145,1.314512408003793,0.7557770444041922,0.1891086350531569,0.7822183230392015,0.1939191416188735,0.7098595351511512,0.7144703664971218,14,0.5454545454545454,0.5454545454545454,0.4071373544384906,0.4071373544384906,0.1980531481855653,0.7622672583784342,0.7265762374252709,0.1914987118220928,0.7832038085503886,0.7326803201547392,0.5683453237410072,0.4571638792861814,-0.008944513132408405,-0.006490213974241987,-0.0167167022741197,0.0024204297967806987,-0.0009854855111871563,-0.01820995365761735,-0.0228907782864618,-0.05002652484769082
phase0_20251220_221556,0,0,continuous_logratio,log,normal,1.0,12.0,0.05,1.4,0,1.0,120,1.0,0.05,F1,C3,0.8,0.8,0.8,4,early_stopping,1200,45,44,0.6082008940065862,0.8081702396782205,0.275674983959593,0.8297363163733309,0.2724257352976453,0.8509669079571215,0.854863853768197,14,0.0266666666666666,0.0266666666666666,0.0084126984126984,0.0084126984126984,0.2700232531109019,0.8105134312840263,0.8908157367150368,0.2681561544282372,0.8315618929653638,0.8939821108932497,0.0,0.0,0.005651730848691083,-0.002343191605805761,-0.03984882875791529,0.004269580869408096,-0.0018255765920328626,-0.03911825712505279,0.0266666666666666,0.0084126984126984
phase0_20251220_221556,0,1,continuous_logratio,log,normal,1.0,12.0,0.05,1.4,0,1.0,120,1.0,0.05,F0,C0,1.0,1.0,1.0,4,early_stopping,1200,119,118,1.0374282480042891,0.758845560654991,0.1912436645754203,0.7635051423507682,0.186162106290315,0.7398820782755378,0.7453242013931154,14,0.5704697986577181,0.5704697986577181,0.4682770994851529,0.4682770994851529,0.1912436645754203,0.758845560654991,0.7398820782755378,0.186162106290315,0.7635051423507682,0.7453242013931154,0.5704697986577181,0.4682770994851529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase0_20251220_221556,0,1,continuous_logratio,log,normal,1.0,12.0,0.05,1.4,0,1.0,120,1.0,0.05,F1,C0,1.0,1.0,1.0,4,early_stopping,1200,9,8,0.3944868430044153,0.8134127066741381,0.2300598009263658,0.8094346263658553,0.2404821672901478,0.758685520743217,0.7604977103006711,14,0.0,0.0,0.0,0.0,0.2300598009263658,0.8134127066741381,0.758685520743217,0.2404821672901478,0.8094346263658553,0.7604977103006711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase0_20251220_221556,0,1,continuous_logratio,log,normal,1.0,12.0,0.05,1.4,0,1.0,120,1.0,0.05,F0,C3,0.9,0.9,0.9,4,early_stopping,1200,117,116,1.2545656439979211,0.7557154643793382,0.1769167675123145,0.7561402790587166,0.1740400431080163,0.7231730988764629,0.7298453172954878,14,0.564625850340136,0.564625850340136,0.4571155412992148,0.4571155412992148,0.1912436645754203,0.758845560654991,0.7398820782755378,0.186162106290315,0.7635051423507682,0.7453242013931154,0.5704697986577181,0.4682770994851529,-0.014326897063105803,-0.0031300962756527495,-0.016708979399074897,-0.012122063182298692,-0.007364863292051549,-0.015478884097627543,-0.0058439483175820595,-0.011161558185938114
phase0_20251220_221556,0,1,continuous_logratio,log,normal,1.0,12.0,0.05,1.4,0,1.0,120,1.0,0.05,F1,C3,0.9,0.9,0.9,4,early_stopping,1200,13,12,0.4867557179968571,0.8112882304432353,0.2371900396340452,0.8021210340728397,0.241418162096784,0.763488832997076,0.7657584380328304,14,0.0,0.0,0.0,0.0,0.2300598009263658,0.8134127066741381,0.758685520743217,0.2404821672901478,0.8094346263658553,0.7604977103006711,0.0,0.0,0.007130238707679398,-0.0021244762309028387,0.004803312253858993,0.0009359948066361978,-0.007313592293015536,0.005260727732159243,0.0,0.0
