run_id,scenario_id,rep_id,dgp_name,dgp.mu_loge,dgp.sigma_loge,dgp.sigma_v,dgp.beta,dgp.dispersion_phi,dgp.smoothing_s,dgp.distractors.p_e,dgp.distractors.loge_noise_scale_mult,dgp.distractors.p_noise,dgp.distractors.noise_scale_mult,dgp.prevalence_target,feature_set,colsamp_arm,s,colsample_bylevel,colsample_bynode,max_depth,regime,n_estimators_cap,n_estimators_used,best_iteration,train_seconds,valid_rocauc,valid_prauc,test_rocauc,test_prauc,valid_latent_corr,test_latent_corr,nthread,cooc_mean,cooc_A__B,cooc_path_mean,cooc_path_A__B,valid_prauc_base,valid_rocauc_base,valid_latent_corr_base,test_prauc_base,test_rocauc_base,test_latent_corr_base,cooc_mean_base,cooc_path_mean_base,delta_valid_prauc,delta_valid_rocauc,delta_valid_latent_corr,delta_test_prauc,delta_test_rocauc,delta_test_latent_corr,delta_cooc_mean,delta_cooc_path_mean
phase0_20251220_230029,0,0,count_exposure,2.0,2.0,1.0,1.4,80.0,2.0,0,1.0,120,1.0,0.05,F0,C0,1.0,1.0,1.0,4,early_stopping,1200,17,16,0.9915261249989272,0.8110215381727748,0.2287428138899845,0.7823363441165511,0.1952950455886072,0.7308148221237613,0.7420112052974183,14,1.0,1.0,1.0,1.0,0.2287428138899845,0.8110215381727748,0.7308148221237613,0.1952950455886072,0.7823363441165511,0.7420112052974183,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase0_20251220_230029,0,0,count_exposure,2.0,2.0,1.0,1.4,80.0,2.0,0,1.0,120,1.0,0.05,F1,C0,1.0,1.0,1.0,4,early_stopping,1200,28,27,0.7870808680017944,0.8134376091637601,0.2311334538329788,0.7887073090785894,0.1948531535614862,0.7773120234381994,0.7849910549499841,14,0.0,0.0,0.0,0.0,0.2311334538329788,0.8134376091637601,0.7773120234381994,0.1948531535614862,0.7887073090785894,0.7849910549499841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase0_20251220_230029,0,0,count_exposure,2.0,2.0,1.0,1.4,80.0,2.0,0,1.0,120,1.0,0.05,F0,C1,0.9,0.9,1.0,4,early_stopping,1200,12,11,0.9313521570002194,0.81121841094062,0.2314488390364652,0.7830319796537059,0.1908387063185685,0.7160525796049526,0.7305810166771325,14,1.0,1.0,1.0,1.0,0.2287428138899845,0.8110215381727748,0.7308148221237613,0.1952950455886072,0.7823363441165511,0.7420112052974183,1.0,1.0,0.0027060251464807172,0.00019687276784519092,-0.014762242518808644,-0.0044563392700386895,0.0006956355371547929,-0.011430188620285775,0.0,0.0
phase0_20251220_230029,0,0,count_exposure,2.0,2.0,1.0,1.4,80.0,2.0,0,1.0,120,1.0,0.05,F0,C2,0.9,1.0,0.9,4,early_stopping,1200,32,31,0.7514625309995608,0.8124169573355441,0.23193956527426,0.7828011889748344,0.2050453687152623,0.7652118024283315,0.7750199276613281,14,1.0,1.0,0.9951110717239748,0.9951110717239748,0.2287428138899845,0.8110215381727748,0.7308148221237613,0.1952950455886072,0.7823363441165511,0.7420112052974183,1.0,1.0,0.003196751384275498,0.0013954191627693069,0.03439698030457028,0.009750323126655108,0.0004648448582833531,0.03300872236390984,0.0,-0.004888928276025162
phase0_20251220_230029,0,0,count_exposure,2.0,2.0,1.0,1.4,80.0,2.0,0,1.0,120,1.0,0.05,F0,C3,0.9,0.9,0.9,4,early_stopping,1200,24,23,0.5783436130004702,0.8156626468334038,0.2338940759466758,0.78252246563177,0.1984987131549318,0.7523311976450706,0.7634900781312303,14,1.0,1.0,0.9840375673709004,0.9840375673709004,0.2287428138899845,0.8110215381727748,0.7308148221237613,0.1952950455886072,0.7823363441165511,0.7420112052974183,1.0,1.0,0.005151262056691308,0.004641108660629056,0.02151637552130936,0.0032036675663246195,0.00018612151521890663,0.021478872833812,0.0,-0.015962432629099577
phase0_20251220_230029,0,0,count_exposure,2.0,2.0,1.0,1.4,80.0,2.0,0,1.0,120,1.0,0.05,F1,C1,0.9,0.9,1.0,4,early_stopping,1200,33,32,1.0306061430019329,0.8161335564836105,0.2285756912170102,0.7896886028974581,0.1981473711576761,0.7914066270417087,0.8000464387898585,14,0.0634920634920634,0.0634920634920634,0.0387231815803244,0.0387231815803244,0.2311334538329788,0.8134376091637601,0.7773120234381994,0.1948531535614862,0.7887073090785894,0.7849910549499841,0.0,0.0,-0.0025577626159686007,0.0026959473198504558,0.014094603603509337,0.003294217596189919,0.0009812938188686893,0.01505538383987437,0.0634920634920634,0.0387231815803244
phase0_20251220_230029,0,0,count_exposure,2.0,2.0,1.0,1.4,80.0,2.0,0,1.0,120,1.0,0.05,F1,C2,0.9,1.0,0.9,4,early_stopping,1200,28,27,0.6771265960051096,0.8128956876730329,0.228510659009501,0.7882312459371968,0.1972785000767242,0.7774252057820292,0.7854001363563948,14,0.0517241379310344,0.0517241379310344,0.0163887836301629,0.0163887836301629,0.2311334538329788,0.8134376091637601,0.7773120234381994,0.1948531535614862,0.7887073090785894,0.7849910549499841,0.0,0.0,-0.0026227948234778253,-0.0005419214907271819,0.00011318234382984294,0.002425346515238014,-0.00047606314139259087,0.0004090814064107162,0.0517241379310344,0.0163887836301629
phase0_20251220_230029,0,0,count_exposure,2.0,2.0,1.0,1.4,80.0,2.0,0,1.0,120,1.0,0.05,F1,C3,0.9,0.9,0.9,4,early_stopping,1200,11,10,0.5863828489964362,0.8141613877027513,0.2292121514812548,0.7895104361648076,0.2028590089256431,0.7357481520872827,0.7476899904048393,14,0.2195121951219512,0.2195121951219512,0.0673635307781649,0.0673635307781649,0.2311334538329788,0.8134376091637601,0.7773120234381994,0.1948531535614862,0.7887073090785894,0.7849910549499841,0.0,0.0,-0.0019213023517240246,0.0007237785389911933,-0.04156387135091666,0.008005855364156905,0.0008031270862182138,-0.03730106454514481,0.2195121951219512,0.0673635307781649
phase0_20251220_230029,0,0,count_exposure,2.0,2.0,1.0,1.4,80.0,2.0,0,1.0,120,1.0,0.05,F0,C1,0.8,0.8,1.0,4,early_stopping,1200,13,12,0.6653571310016559,0.813473062946105,0.2343592571077389,0.7830756289734394,0.1934806665128223,0.7137505200754554,0.727583858515131,14,1.0,1.0,0.9786433205037856,0.9786433205037856,0.2287428138899845,0.8110215381727748,0.7308148221237613,0.1952950455886072,0.7823363441165511,0.7420112052974183,1.0,1.0,0.005616443217754397,0.002451524773330216,-0.01706430204830589,-0.0018143790757848832,0.0007392848568883448,-0.014427346782287298,0.0,-0.021356679496214448
phase0_20251220_230029,0,0,count_exposure,2.0,2.0,1.0,1.4,80.0,2.0,0,1.0,120,1.0,0.05,F0,C2,0.8,1.0,0.8,4,early_stopping,1200,18,17,0.7470554110041121,0.8139823461019088,0.2351452426872198,0.7853684420721516,0.1976129351962181,0.7215281623706945,0.7303715838847129,14,1.0,1.0,0.9660905067155068,0.9660905067155068,0.2287428138899845,0.8110215381727748,0.7308148221237613,0.1952950455886072,0.7823363441165511,0.7420112052974183,1.0,1.0,0.006402428797235321,0.0029608079291340017,-0.00928665975306675,0.0023178896076108957,0.0030320979556005545,-0.011639621412705359,0.0,-0.03390949328449322
